EN.ATM.CO2E.KT,NY.GDP.MKTP.CD,SP.POP.TOTL,AG.LND.CREL.HA
1846600.611,2.40096E+12,404042892,29143572
32940650.08,7.6294E+13,7433569330,733367261
11254610.74,1.35602E+13,2062232304,163412028
2837305.137,2.96586E+12,412538477,104861504
2479230,2.92645E+12,1771187426,132269014
656330,1.32141E+12,102994278,22398321
2904100,1.38852E+13,445487730,54059756
733331.8644,1.4062E+12,849739853,95574606
11961830,4.8398E+13,1341701902,165097397
228009.3423,4.44926E+11,39198032,1809678
3490,9456355296,2385744,6508
36580,69598702058,7269385,250995
187944.2623,3.65871E+11,29542903,1552175
1687450,5.0145E+12,612511541,53231928
1389170,1.38849E+12,365926929,24304622
11224570,1.35429E+13,2036897092,162193863
2479230,2.92645E+12,1771187426,132269014
785929.453,1.56257E+12,1022530245,111954233
3153613.884,3.49078E+12,454682913,112797940
472632.5305,1.20422E+12,869943573,99148748
6961236.541,1.03078E+13,3164439749,249608584
14285376.58,1.85105E+13,2270527108,232793478
10951803.36,4.56631E+13,1101834188,151507071
2253030,1.19645E+13,340481755,32425860
12388259.19,4.90865E+13,1194191812,144400912
197520,6.67163E+11,738387077,86577612
19902630,2.59858E+13,4701907494,438393415
814983.2542,1.95676E+12,1561828652,158358185
449690,9.42118E+11,524794580,43318821
363012.7508,1.01464E+12,1037034072,115039364
1442170,4.52726E+12,570838477,51620353
310386.3312,9.34969E+11,963519718,111064682
156142.3985,3.85815E+11,599290280,72796831
5095344.999,6.73746E+12,3149022555,261391915
20201900.87,2.6944E+13,6209526269,588446251
20039600.99,2.6558E+13,5610235989,515649420
1398550.798,1.4039E+12,370294017,24329119
14944211.14,1.98206E+13,2461213434,254257505
5441468.957,2.028E+13,359245796,72242558
14170430.39,2.27207E+13,2307625738,183504923
6089580.306,2.04456E+13,910870489,155181081
785390.5429,1.56114E+12,1022435568,111954233
2495121.234,3.09545E+12,433616042,24666466
20724486.98,2.79427E+13,6263736146,596751600
