"OID","Country or Area","Year","Description","Magnitude","Value"
"91161...ZF...","ARMENIA","2007","GOVERNMENT BOND YIELD","PERCENT PER ANNU","6.56222"
"91161...ZF...","ARMENIA","2006","GOVERNMENT BOND YIELD","PERCENT PER ANNU","5.85693"
"91161...ZF...","ARMENIA","2005","GOVERNMENT BOND YIELD","PERCENT PER ANNU","5.18325"
"91161...ZF...","ARMENIA","2004","GOVERNMENT BOND YIELD","PERCENT PER ANNU","8.20862"
"91161...ZF...","ARMENIA","2003","GOVERNMENT BOND YIELD","PERCENT PER ANNU","15.7142"
"91161...ZF...","ARMENIA","2002","GOVERNMENT BOND YIELD","PERCENT PER ANNU","17.442"
"91161...ZF...","ARMENIA","2001","GOVERNMENT BOND YIELD","PERCENT PER ANNU","23.1503"
"91161...ZF...","ARMENIA","2000","GOVERNMENT BOND YIELD","PERCENT PER ANNU","25.5117"
"19361A..ZF...","AUSTRALIA","2009","TREASURY BONDS: 3 YEARS","PERCENT PER ANNU","4.25958"
"19361...ZF...","AUSTRALIA","2009","TREASURY BONDS: 15 YEARS","PERCENT PER ANNU","5.09383"
"19361A..ZF...","AUSTRALIA","2008","TREASURY BONDS: 3 YEARS","PERCENT PER ANNU","5.6275"
"19361...ZF...","AUSTRALIA","2008","TREASURY BONDS: 15 YEARS","PERCENT PER ANNU","5.72833"
"19361A..ZF...","AUSTRALIA","2007","TREASURY BONDS: 3 YEARS","PERCENT PER ANNU","6.3275"
"19361...ZF...","AUSTRALIA","2007","TREASURY BONDS: 15 YEARS","PERCENT PER ANNU","6.02417"
"19361A..ZF...","AUSTRALIA","2006","TREASURY BONDS: 3 YEARS","PERCENT PER ANNU","5.71458"
"19361...ZF...","AUSTRALIA","2006","TREASURY BONDS: 15 YEARS","PERCENT PER ANNU","5.61667"
"19361A..ZF...","AUSTRALIA","2005","TREASURY BONDS: 3 YEARS","PERCENT PER ANNU","5.26875"
"19361...ZF...","AUSTRALIA","2005","TREASURY BONDS: 15 YEARS","PERCENT PER ANNU","5.32042"
"19361A..ZF...","AUSTRALIA","2004","TREASURY BONDS: 3 YEARS","PERCENT PER ANNU","5.30042"
"19361...ZF...","AUSTRALIA","2004","TREASURY BONDS: 15 YEARS","PERCENT PER ANNU","5.60958"
"19361A..ZF...","AUSTRALIA","2003","TREASURY BONDS: 3 YEARS","PERCENT PER ANNU","4.89708"
"19361...ZF...","AUSTRALIA","2003","TREASURY BONDS: 15 YEARS","PERCENT PER ANNU","5.35875"
"19361A..ZF...","AUSTRALIA","2002","TREASURY BONDS: 3 YEARS","PERCENT PER ANNU","5.30292"
"19361...ZF...","AUSTRALIA","2002","TREASURY BONDS: 15 YEARS","PERCENT PER ANNU","5.82167"
"19361A..ZF...","AUSTRALIA","2001","TREASURY BONDS: 3 YEARS","PERCENT PER ANNU","4.96875"
"19361...ZF...","AUSTRALIA","2001","TREASURY BONDS: 15 YEARS","PERCENT PER ANNU","5.63417"
"19361A..ZF...","AUSTRALIA","2000","TREASURY BONDS: 3 YEARS","PERCENT PER ANNU","6.18125"
"19361...ZF...","AUSTRALIA","2000","TREASURY BONDS: 15 YEARS","PERCENT PER ANNU","6.26"
"19361A..ZF...","AUSTRALIA","1999","TREASURY BONDS: 3 YEARS","PERCENT PER ANNU","5.54917"
"19361...ZF...","AUSTRALIA","1999","TREASURY BONDS: 15 YEARS","PERCENT PER ANNU","6.08"
"19361A..ZF...","AUSTRALIA","1998","TREASURY BONDS: 3 YEARS","PERCENT PER ANNU","5.01917"
"19361...ZF...","AUSTRALIA","1998","TREASURY BONDS: 15 YEARS","PERCENT PER ANNU","5.49833"
"19361A..ZF...","AUSTRALIA","1997","TREASURY BONDS: 3 YEARS","PERCENT PER ANNU","5.99917"
"19361...ZF...","AUSTRALIA","1997","TREASURY BONDS: 15 YEARS","PERCENT PER ANNU","6.89333"
"19361A..ZF...","AUSTRALIA","1996","TREASURY BONDS: 3 YEARS","PERCENT PER ANNU","7.52917"
"19361...ZF...","AUSTRALIA","1996","TREASURY BONDS: 15 YEARS","PERCENT PER ANNU","8.1675"
"19361A..ZF...","AUSTRALIA","1995","TREASURY BONDS: 3 YEARS","PERCENT PER ANNU","8.41833"
"19361...ZF...","AUSTRALIA","1995","TREASURY BONDS: 15 YEARS","PERCENT PER ANNU","9.16833"
"19361A..ZF...","AUSTRALIA","1994","TREASURY BONDS: 3 YEARS","PERCENT PER ANNU","8.1925"
"19361...ZF...","AUSTRALIA","1994","TREASURY BONDS: 15 YEARS","PERCENT PER ANNU","9.04167"
"19361A..ZF...","AUSTRALIA","1993","TREASURY BONDS: 3 YEARS","PERCENT PER ANNU","6.20667"
"19361...ZF...","AUSTRALIA","1993","TREASURY BONDS: 15 YEARS","PERCENT PER ANNU","7.28083"
"19361A..ZF...","AUSTRALIA","1992","TREASURY BONDS: 3 YEARS","PERCENT PER ANNU","7.605"
"19361...ZF...","AUSTRALIA","1992","TREASURY BONDS: 15 YEARS","PERCENT PER ANNU","9.22"
"19361A..ZF...","AUSTRALIA","1991","TREASURY BONDS: 3 YEARS","PERCENT PER ANNU","9.9375"
"19361...ZF...","AUSTRALIA","1991","TREASURY BONDS: 15 YEARS","PERCENT PER ANNU","10.6908"
"19361A..ZF...","AUSTRALIA","1990","TREASURY BONDS: 3 YEARS","PERCENT PER ANNU","13.4625"
"19361...ZF...","AUSTRALIA","1990","TREASURY BONDS: 15 YEARS","PERCENT PER ANNU","13.18"
"19361A..ZF...","AUSTRALIA","1989","TREASURY BONDS: 3 YEARS","PERCENT PER ANNU","15.1417"
"19361...ZF...","AUSTRALIA","1989","TREASURY BONDS: 15 YEARS","PERCENT PER ANNU","13.4083"
"19361A..ZF...","AUSTRALIA","1988","TREASURY BONDS: 3 YEARS","PERCENT PER ANNU","12.175"
"19361...ZF...","AUSTRALIA","1988","TREASURY BONDS: 15 YEARS","PERCENT PER ANNU","12.1042"
"19361A..ZF...","AUSTRALIA","1987","TREASURY BONDS: 3 YEARS","PERCENT PER ANNU","13.1667"
"19361...ZF...","AUSTRALIA","1987","TREASURY BONDS: 15 YEARS","PERCENT PER ANNU","13.1917"
"19361A..ZF...","AUSTRALIA","1986","TREASURY BONDS: 3 YEARS","PERCENT PER ANNU","13.9667"
"19361...ZF...","AUSTRALIA","1986","TREASURY BONDS: 15 YEARS","PERCENT PER ANNU","13.4167"
"19361A..ZF...","AUSTRALIA","1985","TREASURY BONDS: 3 YEARS","PERCENT PER ANNU","14.025"
"19361...ZF...","AUSTRALIA","1985","TREASURY BONDS: 15 YEARS","PERCENT PER ANNU","13.9542"
"19361A..ZF...","AUSTRALIA","1984","TREASURY BONDS: 3 YEARS","PERCENT PER ANNU","12.2458"
"19361...ZF...","AUSTRALIA","1984","TREASURY BONDS: 15 YEARS","PERCENT PER ANNU","13.525"
"19361A..ZF...","AUSTRALIA","1983","TREASURY BONDS: 3 YEARS","PERCENT PER ANNU","12.8417"
"19361...ZF...","AUSTRALIA","1983","TREASURY BONDS: 15 YEARS","PERCENT PER ANNU","13.8875"
"19361A..ZF...","AUSTRALIA","1982","TREASURY BONDS: 3 YEARS","PERCENT PER ANNU","15.175"
"19361...ZF...","AUSTRALIA","1982","TREASURY BONDS: 15 YEARS","PERCENT PER ANNU","15.375"
"19361A..ZF...","AUSTRALIA","1981","TREASURY BONDS: 3 YEARS","PERCENT PER ANNU","13.76"
"19361...ZF...","AUSTRALIA","1981","TREASURY BONDS: 15 YEARS","PERCENT PER ANNU","13.9583"
