YEAR,SEX,POPULATION
1950,0,243034
1950,1,123425
1950,2,119609
1951,0,249341
1951,1,126602
1951,2,122739
1952,0,255859
1952,1,129889
1952,2,125970
1953,0,34207182
1953,1,17578712
1953,2,16628470
1954,0,35203387
1954,1,18095766
1954,2,17107621
1955,0,39018085
1955,1,19954874
1955,2,19063211
1956,0,40121887
1956,1,20525497
1956,2,19596390
1957,0,41261556
1957,1,21113683
1957,2,20147873
1958,0,42437994
1958,1,21720039
1958,2,20717955
1959,0,43651136
1959,1,22344540
1959,2,21306596
1960,0,44902146
1960,1,22987774
1960,2,21914372
1961,0,46192378
1961,1,23650420
1961,2,22541958
1962,0,53608012
1962,1,27384129
1962,2,26223883
1963,0,55151941
1963,1,28172580
1963,2,26979361
1964,0,56744349
1964,1,28985614
1964,2,27758735
1965,0,58388244
1965,1,29824973
1965,2,28563271
1966,0,60075847
1966,1,30685413
1966,2,29390434
1967,0,61799082
1967,1,31561549
1967,2,30237533
1968,0,63566373
1968,1,32458714
1968,2,31107659
1969,0,74837820
1969,1,38162513
1969,2,36675307
1970,0,189230265
1970,1,95157560
1970,2,94072705
1971,0,213074553
1971,1,107117938
1971,2,105956615
1972,0,221190096
1972,1,111162163
1972,2,110027933
1973,0,256079488
1973,1,128540487
1973,2,127539001
1974,0,292515138
1974,1,146345771
1974,2,146169367
1975,0,320184676
1975,1,160192899
1975,2,159991777
1976,0,348909392
1976,1,174370164
1976,2,174539228
1977,0,370382906
1977,1,185080466
1977,2,185302440
1978,0,402027755
1978,1,200606696
1978,2,201421059
1979,0,452292535
1979,1,225638481
1979,2,226654054
1980,0,1080589597
1980,1,536045934
1980,2,544543663
1981,0,1324656760
1981,1,661369800
1981,2,663286960
1982,0,1395104708
1982,1,696194502
1982,2,698910206
1983,0,1431230432
1983,1,714051827
1983,2,717178605
1984,0,1507145672
1984,1,751931365
1984,2,755214307
1985,0,1575245996
1985,1,785500586
1985,2,789745410
1986,0,1679635626
1986,1,838102977
1986,2,841532649
1987,0,1755802084
1987,1,876345807
1987,2,879456277
1988,0,1793824323
1988,1,895249674
1988,2,898574649
1989,0,2228689429
1989,1,1103286453
1989,2,1125402976
1990,0,3778066835
1990,1,1893007025
1990,2,1885059810
1991,0,5077983911
1991,1,2551499271
1991,2,2526484640
1992,0,5210525797
1992,1,2619217121
1992,2,2591308676
1993,0,5388055257
1993,1,2708001269
1993,2,2680053988
1994,0,5495893133
1994,1,2762729525
1994,2,2733163608
1995,0,5598897966
1995,1,2814923573
1995,2,2783974393
1996,0,5752536073
1996,1,2892630069
1996,2,2859906004
1997,0,5834231092
1997,1,2933806305
1997,2,2900424787
1998,0,5912043434
1998,1,2973027910
1998,2,2939015524
1999,0,5989445737
1999,1,3012008287
1999,2,2977437450
2000,0,6066756789
2000,1,3050849299
2000,2,3015907490
2001,0,6150567588
2001,1,3092855745
2001,2,3057711843
2002,0,6228071556
2002,1,3131736540
2002,2,3096335016
2003,0,6305502716
2003,1,3170457541
2003,2,3135045175
2004,0,6401156080
2004,1,3218552898
2004,2,3182603182
2005,0,6478834839
2005,1,3257433928
2005,2,3221400911
2006,0,6563817773
2006,1,3300241839
2006,2,3263575934
2007,0,6644870368
2007,1,3341220745
2007,2,3303649623
2008,0,6769558418
2008,1,3404494115
2008,2,3365064303
2009,0,6853420222
2009,1,3446744286
2009,2,3406675936
2010,0,6939761510
2010,1,3489856563
2010,2,3449904947
2011,0,7022084781
2011,1,3531046110
2011,2,3491038671
2012,0,7105001721
2012,1,3572568508
2012,2,3532433213
2013,0,7188528811
2013,1,3614374555
2013,2,3574154256
2014,0,7271598780
2014,1,3655891230
2014,2,3615707550
2015,0,7353476064
2015,1,3696772171
2015,2,3656703893
2016,0,7435151387
2016,1,3737566424
2016,2,3697584963
2017,0,7516769535
2017,1,3778381917
2017,2,3738387618
2018,0,7597066210
2018,1,3818487177
2018,2,3778579033
2019,0,7676686052
2019,1,3858174685
2019,2,3818511367
2020,0,7756873419
2020,1,3898005577
2020,2,3858867842
2021,0,7831718605
2021,1,3934838934
2021,2,3896879671
2022,0,7905336896
2022,1,3970916095
2022,2,3934420801
2023,0,7979261010
2023,1,4007166079
2023,2,3972094931
2024,0,8053468704
2024,1,4043574843
2024,2,4009893861
2025,0,8127108706
2025,1,4079714192
2025,2,4047394514
2026,0,8200029026
2026,1,4115519596
2026,2,4084509430
2027,0,8272667992
2027,1,4151211671
2027,2,4121456321
2028,0,8344946272
2028,1,4186735945
2028,2,4158210327
2029,0,8416767879
2029,1,4222040466
2029,2,4194727413
2030,0,8488000705
2030,1,4257059071
2030,2,4230941634
2031,0,8558747379
2031,1,4291846995
2031,2,4266900384
2032,0,8628989735
2032,1,4326388659
2032,2,4302601076
2033,0,8698463126
2033,1,4360532047
2033,2,4337931079
2034,0,8767107308
2034,1,4394244246
2034,2,4372863062
2035,0,8834868547
2035,1,4427507717
2035,2,4407360830
2036,0,8901836805
2036,1,4460381149
2036,2,4441455656
2037,0,8968114891
2037,1,4492925647
2037,2,4475189244
2038,0,9033565466
2038,1,4525066991
2038,2,4508498475
2039,0,9098087193
2039,1,4556753548
2039,2,4541333645
2040,0,9161630268
2040,1,4587968342
2040,2,4573661926
2041,0,9224279908
2041,1,4618761169
2041,2,4605518739
2042,0,9286115028
2042,1,4649175059
2042,2,4636939969
2043,0,9346934744
2043,1,4679102660
2043,2,4667832084
2044,0,9406604266
2044,1,4708470919
2044,2,4698133347
2045,0,9465111012
2045,1,4737276024
2045,2,4727834988
2046,0,9522530654
2046,1,4765556806
2046,2,4756973848
2047,0,9578903802
2047,1,4793334846
2047,2,4785568956
2048,0,9634060548
2048,1,4820529018
2048,2,4813531530
2049,0,9687917238
2049,1,4847095607
2049,2,4840821631
2050,0,9740512435
2050,1,4873050118
2050,2,4867462317
2051,0,9792027701
2051,1,4898489073
2051,2,4893538628
2052,0,9842575690
2052,1,4923474352
2052,2,4919101338
2053,0,9892029778
2053,1,4947950172
2053,2,4944079606
2054,0,9940370620
2054,1,4971911257
2054,2,4968459363
2055,0,9987686117
2055,1,4995396472
2055,2,4992289645
2056,0,10034064544
2056,1,5018443631
2056,2,5015620913
2057,0,10079504347
2057,1,5041044696
2057,2,5038459651
2058,0,10123923236
2058,1,5063166576
2058,2,5060756660
2059,0,10167314445
2059,1,5084812496
2059,2,5082501949
2060,0,10209735907
2060,1,5106002173
2060,2,5103733734
2061,0,9845149450
2061,1,4925036228
